Name,Designer,ID,URL,Free
"Sweater ""Two Shades of Grey""",alhats designs,7458021,https://www.ravelry.com/patterns/library/sweater-two-shades-of-grey,False
Sweater No39,Daisy And Peace,7460730,https://www.ravelry.com/patterns/library/sweater-no39,False
Sweater,Glenwell Associates Ltd.,288829,https://www.ravelry.com/patterns/library/sweater-55,False
Sweater With Hoodie - Unisex,Dewdrops Designs,309129,https://www.ravelry.com/patterns/library/sweater-with-hoodie---unisex,False
Sweater with shoulder buttons,Paula Hammerskog and Eva Wincent,632262,https://www.ravelry.com/patterns/library/sweater-with-shoulder-buttons,False
Sweater,Glenwell Associates Ltd.,833230,https://www.ravelry.com/patterns/library/sweater-155,False
Sweater Set  5401,Sirdar,1114918,https://www.ravelry.com/patterns/library/sweater-set-5401,False
Sweater Dress,Emma Bermudez,1271596,https://www.ravelry.com/patterns/library/sweater-dress-11,True
Sweater for Avis,Stitch11,370224,https://www.ravelry.com/patterns/library/sweater-for-avis,True
"Elephant Sweater, No. 1",Gretchen Baum,168969,https://www.ravelry.com/patterns/library/elephant-sweater-no-1,True
Spencer Sweater #C-145,The Spool Cotton Company,346203,https://www.ravelry.com/patterns/library/spencer-sweater-c-145,True
Sweater Camillemv,Mi Mediavareta,1164428,https://www.ravelry.com/patterns/library/sweater-camillemv,False
Sweater with Lace Shoulder BC2308,Jytte Slente,1323095,https://www.ravelry.com/patterns/library/sweater-with-lace-shoulder-bc2308,True
Sweater Libre,Yo Crochet,1340034,https://www.ravelry.com/patterns/library/sweater-libre,False
Sweater in progress Pin,Kelly Mac,157098,https://www.ravelry.com/patterns/library/sweater-in-progress-pin,True
Sweater Shawl,MaryJane Butters,149415,https://www.ravelry.com/patterns/library/sweater-shawl-7,True
Sweater Shawl,MaryJane Butters,156198,https://www.ravelry.com/patterns/library/sweater-shawl-8,True
Sweater : Thundercloud,Brome Fields,7433581,https://www.ravelry.com/patterns/library/sweater--thundercloud,False
Sweater Bag #60336A,Lion Brand Yarn,4211,https://www.ravelry.com/patterns/library/sweater-bag-60336a,True
Sweater Cat,Elizabeth Jarvis,105869,https://www.ravelry.com/patterns/library/sweater-cat,True
Sweater for Ysolda Teague's Otto Bear,Snowden Becker,98716,https://www.ravelry.com/patterns/library/sweater-for-ysolda-teagues-otto-bear,True
